id,qname,heading,text,type,diagram,website,updated
,TradeAction,TradeAction,"The act of participating in an exchange of goods and services for monetary compensation. An agent trades an object, product or service with a participant in exchange for a one time or periodic payment.",Class,http://schema.org/diagrams/TradeAction.dot.svg,http://schema.org/TradeAction,2026-07-24T12:31:48.132193
,BackgroundNewsArticle,BackgroundNewsArticle,"A [[NewsArticle]] providing historical context, definition and detail on a specific topic (aka ""explainer"" or ""backgrounder""). For example, an in-depth article or frequently-asked-questions ([FAQ](https://en.wikipedia.org/wiki/FAQ)) document on topics such as Climate Change or the European Union. Other kinds of background material from a non-news setting are often described using [[Book]] or [[Article]], in particular [[ScholarlyArticle]]. See also [[NewsArticle]] for related vocabulary from a l",Class,http://schema.org/diagrams/BackgroundNewsArticle.dot.svg,http://schema.org/BackgroundNewsArticle,2026-07-24T12:31:48.132193
,EntertainmentBusiness,EntertainmentBusiness,A business providing entertainment.,Class,http://schema.org/diagrams/EntertainmentBusiness.dot.svg,http://schema.org/EntertainmentBusiness,2026-07-24T12:31:48.132193
,Place,Place,"Entities that have a somewhat fixed, physical extension.",Class,http://schema.org/diagrams/Place.dot.svg,http://schema.org/Place,2026-07-24T12:31:48.132193
,ReturnFeesEnumeration,ReturnFeesEnumeration,Enumerates several kinds of policies for product return fees.,Class,http://schema.org/diagrams/ReturnFeesEnumeration.dot.svg,http://schema.org/ReturnFeesEnumeration,2026-07-24T12:31:48.132193
,ShippingDeliveryTime,ShippingDeliveryTime,ShippingDeliveryTime provides various pieces of information about delivery times for shipping.,Class,http://schema.org/diagrams/ShippingDeliveryTime.dot.svg,http://schema.org/ShippingDeliveryTime,2026-07-24T12:31:48.132193
,PronounceableText,PronounceableText,Data type: PronounceableText.,Class,http://schema.org/diagrams/PronounceableText.dot.svg,http://schema.org/PronounceableText,2026-07-24T12:31:48.132193
,CookAction,CookAction,The act of producing/preparing food.,Class,http://schema.org/diagrams/CookAction.dot.svg,http://schema.org/CookAction,2026-07-24T12:31:48.132193
,DayOfWeek,DayOfWeek,"The day of the week, e.g. used to specify to which day the opening hours of an OpeningHoursSpecification refer.

Originally, URLs from [GoodRelations](http://purl.org/goodrelations/v1) were used (for [[Monday]], [[Tuesday]], [[Wednesday]], [[Thursday]], [[Friday]], [[Saturday]], [[Sunday]] plus a special entry for [[PublicHolidays]]); these have now been integrated directly into schema.org.
      ",Class,http://schema.org/diagrams/DayOfWeek.dot.svg,http://schema.org/DayOfWeek,2026-07-24T12:31:48.132193
,EUEnergyEfficiencyEnumeration,EUEnergyEfficiencyEnumeration,"Enumerates the EU energy efficiency classes A-G as well as A+, A++, and A+++ as defined in EU directive 2017/1369.",Class,http://schema.org/diagrams/EUEnergyEfficiencyEnumeration.dot.svg,http://schema.org/EUEnergyEfficiencyEnumeration,2026-07-24T12:31:48.132193
